#name=My Vocab N4
#description=My JLPT N4
JP;JP_KANA;RU
申し上げる;もうしあげる;говорить (скромно о себе)
申す;もうす;говорить, называться
もう直ぐ;もうすぐ;вот-вот, скоро
もう一つ;もうひとつ;еще один
若し;もし;если
戻る;もどる;возвращаться
木綿;もめん;хлопчатобумажная ткань
貰う;もらう;получать, брать
焼く;やく;жечь, сжигать, обжигать, ревновать
約束（する）;やくそく;обещание, договоренность
役に立つ;やくにたつ;полезный, пригодиться
焼ける;やける;гореть, сгорать, выгорать (о цвете), ревновать
優しい;やさしい;добрый, ласковый, нежный
~易い;やすい;легко…
痩せる;やせる;худеть, истощаться
;やっと;наконец-то
矢張り・矢っ張り;やはり・やっぱり;всё-таки, всё же, всё равно, также, тоже
止む;やむ;кончаться, переставать
止める;やめる;прекращать, переставать, оставлять (службу)
遣る;やる;давать
軟らかい;やわらかい;мягкий, нежный
湯;ゆ;горячая вода, горячий источник, ванна, баня
夕飯;ゆうはん;ужин
輸出;ゆしゅつ;экспорт, вывоз
指;ゆび;палец
指輪;ゆびわ;кольцо, перстень
夢;ゆめ;сон, мечта
揺れる;ゆれる;качаться, колебаться
用;よう;дело, необходимость, применение
用意（する）;ようい（する）;готовность, подготовка, приготовление
用事;ようじ;дело, дела
汚れる;よごれる;пачкаться, загрязняться
予習;よしゅう;подготовка уроков
予定;よてい;план, расписание, намётка, предварительный расчёт
予約;よやく;договорённость, заказ, бронирование, подписка
寄る;よる;приближаться, подходить, заходить, собираться
喜ぶ;よろこぶ;радоваться
宜しい;よろしい;хороший
弱い;よわい;слабый
理由;りゆう;причина, мотив, повод
利用 (する);りよう;использование, применение
両方;りょうほう;оба, обе стороны
旅館;りょかん;гостиница в японском стиле
留守;るす;отсутствие, пребывание вне дома
歴史;れきし;история
連絡（する）;れんらく;связь, контакт, коммуникация
沸かす;わかす;кипятить, будоражить, волновать
別れる;わかれる;отделяться
沸く;わく;кипеть, бурлить, плавиться, расплавляться
訳;わけ;смысл, значение, суть, причина
忘れ物;わすれもの;забытая вещь
笑う;わらう;смеяться
割合;わりあい;соотношение
割合に;わりあいに;сравнительно, относительно
割れる;われる;разбиваться, трескаться, делиться на…
