#name=My Vocab TORFL A1
#description=My TORFL
RU;JP
фрукты;<果物|くだもの>
футбол;サッカー
химик;<化学者|かがくしゃ>
химия;<化学|かがく>
хлеб;パン
ходить;<歩く|あるく>
хоккей;アイスホッケー
холодно;<寒く|さむく>
холодный;<寒い|さむい>
хороший;<良い|いい>
хорошо;<良く|よく>
хотеть;<欲する|ほっする>
цветы;<花|はな>
цена;<値段|ねだん>
центр;<中心|ちゅうしん>
цирк;サーカス
цифра;<数字|すうじ>
чай;<紅茶|こうちゃ>・<お茶|おちゃ>
час;<時|じ>
часто;<度々|たびたび>
чей;<誰の|だれの>
человек;<人間|にんげん>
четверг;<木曜日|もくようび>
четвёртый;<第４|だいよん>
четыре;<４|し>・<４つ|よっつ>
четыреста;<４００|よんひゃく>
четырнадцатый;<第１４|だいじゅうよん>
четырнадцать;<１４|じゅうよん>
число;<数字|すうじ>
читать;<読む|よむ>
что;<何|なに>
чувствовать себя;<気持ががある|きもちがある>
шапка;<帽子|ぼうし>
шарф;スカーフ
шахматы;チェス
шестнадцатый;<第１６|だいじゅうろく>
шестнадцать;<１６|じゅうろく>
шестой;<第６|だいろく>
шесть;<６|ろく>・<６つ|むっつ>
шестьдесят;<６０|ろくじゅう>
шестьсот;<６００|ろっぴゃく>
школа;<学校|がっこう>
школьник;<生徒|せいと> (男)
школьница;<生徒|せいと> (女)
шутка;<冗談|じょうだん>
экзамен;<試験|しけん>
экономист;<経済学者|けいざいがくしゃ>
этаж;<階|かい>
это;これ・それ
этот…, эта…;この…・その…
юрист;<弁護士|べんごし>
я;<私|わたし>・<僕|ぼく>
яблоко;リンゴ
язык;<言語|げんご>
январь;<１月|いちがつ>
яйцо;<卵|たまご>
